strategy,notes,TTapproach,TTclose,TTmanage,TTurl
Big Lizard,profit 50%,"A Jade Lizard is traded when a trader has a neutral to bullish assumption on a stock, but not extremely bullish since the position incorporates a short call spread.

The trade is suitable for stocks that have sold off and have high implied volatility rank (IVR). This allows for more premium to be collected, while having no upside risk if the underlying trades through the short call spread.

For traders who are very bullish on a stock that has sold off and has a high IVR, strategies such as short puts or covered calls may be more suitable.

These strategies are ideal when a volatility skew is apparent, and IV Rank & IV are high. 
The premium collected should be more than the width of the strikes of the call spread.
As a general rule, aim to collect 70% of the credit for the trade from the sale of the put, and 30% from the sale of the call spread. 
A big lizard involves selling a straddle then purchasing an out-of-the-money call.","When do we close Jade Lizards?
The trade is closed for a winner by purchasing the options back for a net debit that is less than the credit collected at order entry. The first profit target is 50% of max profit, or half of the credit that was initially received at order entry.","When do we manage Jade Lizards?
If the stock trades through the short call spread, the short put can be rolled up to collect more credit. However, since there is no upside risk when trading Jade Lizards, this adjustment isn’t entirely necessary.

If the stock sells off and tests the short put, the short call spread can be rolled down to collect more credit without increasing the upside risk.

In the worst case scenario, a trader can close the entire position for a loss if the loss on the short put becomes too large.",https://www.tastytrade.com/tt/learn/jade-lizard
Broken Wing Butterfly,profit 50%,"Our approach to broken wing butterfly spreads is simple - we always route this for a credit. When we route this trade for a credit, we eliminate the risk of losing money if the entire spread expires out of the money. Routing this trade for a credit also drastically improves our probability of profit, for this very reason.","When do we close Broken Wing Butterflies?
When routing this strategy, it is usually for a very small credit. Therefore, we won’t look to close the trade if we see a small profit from that. We usually aim for 50% of our max profit on the trade. That would be when our closest long option to the stock price goes ITM near expiration. To get a rough calculation of this, just take the distance between the closest long option and the short options and divide by two.","When do we manage Broken Wing Butterflies?
If our spread goes against us, we will look to close our long spread aspect of the trade for max profit, and potentially roll the remaining short spread out in time if we can do so for a credit.",https://www.tastytrade.com/tt/learn/broken-wing-butterfly
Butterfly,profit 25-50%,"At tastytrade, we tend to buy Call or Put Butterfly spreads to take advantage of the non-movement of an underlying stock. This is a low probability trade, but we use this strategy when implied volatility is high, as the butterfly spread then trades cheaper. The spread trades cheaper in this situation since the price of the In-The-Money option consists primarily of intrinsic value. Therefore selling the ATM options covers a higher percentage of the cost of purchasing both of the long options.","When do we close Butterflies?
Since achieving maximum profit on a Butterfly is highly unlikely, the profit target on this position is generally lower. A reasonable profit target on a Long Butterfly is 25-50% of the maximum profit.","When do we manage Butterflies?
Long Butterfly spreads are low probability, low risk trades. For this reason, losses generally aren’t managed.",https://www.tastytrade.com/tt/learn/butterfly-spread
Calendar,,"There are two things to remember when it comes to calendar spreads:

1. If the stock price moves too far from our strikes, the trade will become a loser.
2. An implied volatility increase will help our trade make money.

Keeping this information in mind is most helpful when setting up the trade. We pick strikes that are near the stock price, if not right on the stock price. We may skew it slightly bullish or slightly bearish if we have a small directional assumption, but it will be very close to the stock price regardless - that gives us the most exposure to profit or loss with changes in implied volatility. You will only see us routing this strategy in the lowest of IV environments.","When do we close Calendar Spreads?
Since a calendar spread can be hurt by too much stock movement, we tend to manage our winners at around 25% of the debit we paid to enter the trade. Waiting too long for additional profits could mean stock price movement, which is bad for the position. We never route calendar spreads in volatility instruments. Each expiration acts as its own underlying, so our max loss is not defined.","When do we manage Calendar Spreads?
Since this is a debit spread that is defined risk, we don’t usually manage these spreads. We are comfortable with the debit paid as max loss, and there’s not much we can do with these spreads regardless since they share the same strike.",https://www.tastytrade.com/tt/learn/calendar-spread
Covered Call,,"We almost always prefer covered calls to naked stock because it allows us to profit when the stock doesn’t move at all, and it also reduces our max loss if the stock goes down. It’s important to consider the credit received from the call when deploying this strategy. If we can only collect $0.10 by selling the call, we may consider another strategy or hold off on selling the call until we can find more premium.

We look to deploy this bullish strategy in low priced stocks with high volatility. Based on our studies, entering this trade with roughly 45 days to expiration is ideal. We typically sell the call that has the most liquidity near the 30 delta level, as that gives us a high probability trade while also giving us profitability to the upside if the stock moves in our favor.","When do we close Covered Calls?
We close covered calls when the stock price has gone well past our short call, as that usually yields close to max profit. We may also consider closing a covered call if the stock price drops significantly and our assumption changes.","When do we manage Covered Calls?
We roll a covered call when our assumption remains the same (that the price of the stock will continue to rise). We look to roll the short call when there is little to no extrinsic value left. For instance, if the stock price remains roughly the same as when we executed the trade, we can roll the short call by buying back our short option, and selling another call on the same strike in a further out expiration. We will also roll our call down if the stock price drops. This allows us to collect more premium, and reduce our max loss & breakeven point. We are always cognizant of our current breakeven point, and we do not roll our call down further than that. Doing so can lock in a loss if the stock price actually comes back up and leaves our call ITM.",https://www.tastytrade.com/tt/learn/covered-call
Diagonal,"opening debit < 75% width
profit 25-50%","The setup of a diagonal spread is very important. If we have a bad setup, we can actually set ourselves up to lose money if the trade moves in our direction too fast. To ensure we have a good setup, we check the extrinsic value of our longer dated ITM option. Once we figure that value, we ensure that the near term option we sell is equal to or greater than that amount. The deeper ITM our long option is, the easier this setup is to obtain. We also ensure that the total debit paid is not more than 75% of the width of the strikes.

We never route diagonal spreads in volatility instruments. Each expiration acts as its own underlying, so our max loss is not defined.","When do we close Diagonal Spreads?
We generally look for 25-50% of max profit when closing diagonal spreads. Profit occurs when the long option moves further ITM and gains value, and/or if implied volatility increases.","When do we manage Diagonal Spreads?
We manage diagonal spreads when the stock price moves against our spread. In this case, we look to roll down the short option closer to the breakeven price, so that we can collect more premium and reduce our overall risk.",https://www.tastytrade.com/tt/learn/diagonal-spread
Iron Condor,profit 50%,"We approach iron condors with similar entry tactics. We shoot for collecting 1/3rd the width of the strikes in premium upon trade entry. For example, if we have an iron condor with three point wide spreads, we will look to collect $1.00 for the trade. This gives us a probability of success around 67%, which is acceptable to us.","When do we close Iron Condors?
Much like other standard premium selling strategies, we close iron condors when we reach 50% of our max profit. This can increase our win rate over time, as we are taking risk off the table and locking in profits.","When do we manage Iron Condors?
We manage iron condors by adjusting the untested side, or profitable side of the spread. We look to roll the untested spread closer to the stock price to collect more premium. We can go as far as rolling our untested spread to the same short strike as our tested spread, which creates an iron fly. ",https://www.tastytrade.com/tt/learn/iron-condor
Jade Lizard,"Open with at least 1.00
profit target 50%","A Jade Lizard is traded when a trader has a neutral to bullish assumption on a stock, but not extremely bullish since the position incorporates a short call spread.

The trade is suitable for stocks that have sold off and have high implied volatility rank (IVR). This allows for more premium to be collected, while having no upside risk if the underlying trades through the short call spread.

For traders who are very bullish on a stock that has sold off and has a high IVR, strategies such as short puts or covered calls may be more suitable.

The rules for a jade lizard: you want at least 30 cents on a call spread and 70 cents on the short put.

These strategies are ideal when a volatility skew is apparent, and IV Rank & IV are high
The premium collected should be more than the width of the strikes of the call spread.
As a general rule, aim to collect 70% of the credit for the trade from the sale of the put, and 30% from the sale of the call spread. 
A jade lizard involves selling a strangle and then also purchasing an out-of-the-money call.","When do we close Jade Lizards?
The trade is closed for a winner by purchasing the options back for a net debit that is less than the credit collected at order entry. The first profit target is 50% of max profit, or half of the credit that was initially received at order entry.","When do we manage Jade Lizards?
If the stock trades through the short call spread, the short put can be rolled up to collect more credit. However, since there is no upside risk when trading Jade Lizards, this adjustment isn’t entirely necessary.

If the stock sells off and tests the short put, the short call spread can be rolled down to collect more credit without increasing the upside risk.

In the worst case scenario, a trader can close the entire position for a loss if the loss on the short put becomes too large.",https://www.tastytrade.com/tt/learn/jade-lizard
Naked Options,,"Short “naked” options are calls or puts that are sold that have nothing to limit their risk (shares of stock, long options).

Since “naked” options have no options that are purchased against them, they benefit the most from the passage of time (theta decay) and any decreases in implied volatility (IV). As a result, the ideal environment for selling naked options in terms of the premium collected is when IV is high.","When do we close Naked Options?
Profitable Short Naked Calls and Short Naked Puts will be closed at a more favorable price than the entry price (first goal: 50% of maximum profit)","When do we manage Naked Options?
When trading short naked options, selling an option of the opposing type (i.e. selling a call against a short put that is being “tested”) can be one defense mechanism. This reduces the directional risk of the position and collects more premium, which extends the break-even point.

If the trader’s assumption on the underlying has not changed as expiration approaches, the position can be rolled to the next expiration cycle to extend the time in the trade and collect more premium.",https://www.tastytrade.com/tt/learn/naked-options
Poor Man Covered Call,,"A Poor Man’s Covered Call is a fantastic alternative to trading a covered call. In smaller accounts, this position can be used to replicate a covered call position with much less capital and much less risk than an actual covered call.

The setup of a poor man’s covered call is very important. If we have a bad setup, we can actually set ourselves up to lose money if the trade moves in our direction too fast. To ensure we have a good setup, we check the extrinsic value of our longer dated ITM option. Once we figure that value, we ensure that the near term option we sell is equal to or greater than that amount. The deeper ITM our long option is, the easier this setup is to obtain. We also ensure that the total debit paid is not more than 75% of the width of the strikes.

We never route poor man’s covered calls in volatility instruments. Each expiration acts as its own underlying, so our max loss is not defined.","When do we close PMCCs?
In the best case scenario, a PMCC will be closed for a winner if the stock prices increases significantly in one expiration cycle. This is because the call options will trade closer to intrinsic value and the profit potential for the trade will diminish.","When do we manage PMCCs?
For losing trades due to the stock price decreasing, the short call can be rolled to a lower strike to collect more credit.",https://www.tastytrade.com/tt/learn/poor-man-covered-call
